Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Base,Z_Score,IQR_Outlier,Z_Outlier,Visibility_Outlier,Outlet_Age,Item_Category,Outlet_Identifier_Encoded
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,DRK,0.03466745022871619,False,False,False,26,Staples,2348.3546346236562
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,FDY,2.0661817850367856,False,False,False,28,Staples,2277.8442668817206
FDI26,5.94,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,FDI,-0.18296566984176452,False,False,False,40,Staples,340.3297227272727
FDM20,10.0,Low Fat,0.038653608,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872,FDM,-0.631769501591436,False,False,False,16,Perishables,1995.498739224138
FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168,FDV,-0.6034043502528333,False,False,False,23,Perishables,2192.384797631862
FDF09,6.215,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,FDF,-1.1633154884982544,False,False,False,40,Perishables,3694.0385576470585
FDY40,15.5,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,FDY,1.602035106671492,False,False,False,40,Perishables,340.3297227272727
FDY45,17.5,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,FDY,-0.8846622639069173,False,False,False,40,Staples,3694.0385576470585
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Small,Tier 3,Grocery Store,184.4266,FDC,2.4981439538796253,False,False,False,27,Staples,339.351661981982
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,FDH,-0.7432551040203424,False,False,False,21,Perishables,2438.841866021505
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.544,FDZ,0.17450503717665272,False,False,False,23,Perishables,2192.384797631862
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,DRH,-0.5707949606696167,False,False,False,23,Staples,2192.384797631862
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,NCI,1.4646970343126349,False,False,False,28,Household,2277.8442668817206
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,FDJ,0.7017704670280304,False,False,False,28,Staples,2277.8442668817206
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,FDL,1.026647312505766,False,False,False,38,Staples,2298.995255579399
FDH35,18.25,Low Fat,0.0602704,Starchy Foods,164.7526,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728,FDH,-0.199209623173172,False,False,False,23,Staples,2192.384797631862
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256,FDG,-1.1786276592257239,False,False,False,18,Staples,2340.67526349892
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,NCZ,2.32383211146693,False,False,False,26,Household,2348.3546346236562
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,FDC,-0.9208781814415044,False,False,False,28,Perishables,2277.8442668817206
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,FDQ,-0.7402815439059262,False,False,False,26,Staples,2348.3546346236562
FDN48,13.35,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,FDN,0.8703432169569922,False,False,False,40,Staples,340.3297227272727
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,FDL,0.8470544148434003,False,False,False,18,Perishables,2340.67526349892
FDV25,5.905,Low Fat,0.04572322,Canned,222.5456,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944,FDV,-0.49030399148316917,False,False,False,23,Staples,2192.384797631862
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,FDD,-0.21758231905740105,False,False,False,28,Staples,2277.8442668817206
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,FDN,-1.1233551315829757,False,False,False,28,Perishables,2277.8442668817206
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,FDV,-0.5001546134768595,False,False,False,16,Staples,1995.498739224138
NCL18,18.85,Low Fat,0.1977458405,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408,NCL,4.4661539174751965,True,True,True,40,Household,340.3297227272727
FDR12,12.6,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,FDR,-0.7772761447487845,False,False,False,40,Staples,3694.0385576470585
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392,FDG,1.1240449382616158,False,False,False,18,Perishables,2340.67526349892
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,FDZ,-0.8969010228031521,False,False,False,21,Perishables,2438.841866021505
FDQ49,20.2,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,FDQ,-0.6236839337831974,False,False,False,40,Staples,3694.0385576470585
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,FDN,1.0583489919530473,False,False,False,28,Staples,2277.8442668817206
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,FDN,-0.6123514842974116,False,False,False,26,Perishables,2348.3546346236562
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,Small,Tier 3,Grocery Store,369.519,FDW,-0.5963994821781046,False,False,False,27,Perishables,339.351661981982
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,DRG,0.7013310194222088,False,False,False,26,Perishables,2348.3546346236562
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535,DRI,-0.725486300914042,False,False,False,23,Staples,2192.384797631862
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,FDA,-0.3404377303218528,False,False,False,21,Perishables,2438.841866021505
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,NCR,-0.9174154879872264,False,False,False,21,Household,2438.841866021505
FDU04,7.93,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,FDU,-1.2108496881808501,False,False,False,40,Perishables,340.3297227272727
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,FDF,1.2237946422439159,False,False,False,26,Perishables,2348.3546346236562
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,FDB,0.08779282578367838,False,False,False,21,Perishables,2438.841866021505
NCP18,12.15,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,NCP,-0.8357520915582721,False,False,False,40,Household,3694.0385576470585
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,FDB,0.08807519203137873,False,False,False,28,Perishables,2277.8442668817206
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496,FDT,-0.1306804494335638,False,False,False,23,Perishables,2192.384797631862
FDD10,20.6,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,FDD,-0.48881103822863875,False,False,False,40,Staples,3694.0385576470585
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,FDW,0.9131029437672673,False,False,False,26,Staples,2348.3546346236562
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,DRB,-0.9083287816531074,False,False,False,38,Staples,2298.995255579399
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,FDP,-0.7243314227608437,False,False,False,16,Staples,1995.498739224138
FDH14,17.1,Regular,0.0467696,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,FDH,-0.46936554670471625,False,False,False,38,Staples,2298.995255579399
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331,FDA,0.9274999805137234,False,False,False,38,Staples,2298.995255579399
FDG12,6.635,Regular,0.006315707,Baking Goods,121.3098,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.7058,FDG,-1.2788626745683445,False,False,False,23,Staples,2192.384797631862
DRE60,9.395,Low Fat,0.1977458405,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.116,DRE,4.1771305418072515,True,True,True,40,Staples,340.3297227272727
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.276,DRK,-0.6865939571614389,False,False,False,38,Staples,2298.995255579399
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09,FDD,0.19171016833684923,False,False,False,28,Perishables,2277.8442668817206
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432,FDS,-1.2950755918250456,False,False,False,18,Perishables,2340.67526349892
FDW39,6.69,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437,FDW,-0.11206564815418717,False,False,False,40,Perishables,340.3297227272727
FDX34,6.195,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332,FDX,0.028238920660561342,False,False,False,40,Staples,3694.0385576470585
FDV11,9.1,Regular,0.081723559,Breads,173.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,3151.8972,FDV,0.2300758993376466,False,False,False,23,Staples,2192.384797631862
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265,FDD,-0.751350036678976,False,False,False,26,Perishables,2348.3546346236562
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Small,Tier 2,Supermarket Type1,4843.695,FDZ,1.8116249408330602,False,False,False,18,Perishables,2340.67526349892
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244,FDZ,-0.0223130020100015,False,False,False,21,Staples,2438.841866021505
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772,DRA,-0.5812654036910526,False,False,False,18,Staples,2340.67526349892
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847,FDY,-0.603203005969341,False,False,False,16,Staples,1995.498739224138
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Small,Tier 2,Supermarket Type1,680.4476,NCF,-0.6987299028069696,False,False,False,18,Household,2340.67526349892
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Small,Tier 2,Supermarket Type1,2085.9514,DRJ,-0.1442322083800508,False,False,False,23,Staples,2192.384797631862
FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Small,Tier 3,Grocery Store,186.424,FDB,2.0353153381866993,False,False,False,27,Staples,339.351661981982
FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048,FDJ,-0.60086701607562,False,False,False,21,Staples,2438.841866021505
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716,FDW,-0.4235735493717794,False,False,False,18,Staples,2340.67526349892
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869,FDL,-1.1729027340797675,False,False,False,21,Perishables,2438.841866021505
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864,DRI,2.2668055153286164,False,False,False,28,Staples,2277.8442668817206
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252,FDV,0.6428088686820329,False,False,False,18,Perishables,2340.67526349892
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341,DRG,0.3298361287714594,False,False,False,38,Staples,2298.995255579399
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Small,Tier 2,Supermarket Type1,707.0796,NCP,-0.748199024655793,False,False,False,23,Household,2192.384797631862
FDY25,12.0,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944,FDY,-0.7286936020914155,False,False,False,40,Staples,3694.0385576470585
NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,NCH,0.048893278300002084,False,False,False,28,Household,2277.8442668817206
NCR53,12.15,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524,NCR,1.4830235262661762,False,False,False,40,Household,3694.0385576470585
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Small,Tier 3,Grocery Store,101.2016,FDS,-1.2218829827234625,False,False,False,27,Perishables,339.351661981982
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094,FDG,-1.1789843239552975,False,False,False,16,Staples,1995.498739224138
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364,NCO,0.13266682765353638,False,False,False,28,Household,2277.8442668817206
FDH35,18.25,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832,FDH,-0.2054833525647121,False,False,False,40,Staples,3694.0385576470585
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Small,Tier 2,Supermarket Type1,1314.2892,FDB,-0.6342016813053466,False,False,False,23,Perishables,2192.384797631862
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Small,Tier 2,Supermarket Type1,535.3032,FDX,-0.5406028230686981,False,False,False,18,Perishables,2340.67526349892
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,Small,Tier 3,Grocery Store,263.6568,NCN,-0.2683241200728317,False,False,False,27,Household,339.351661981982
